# percentile = weighted fraction of best-lr count mass with lr <= target
# percentile values are fractions in [0, 1]
# run = cifar_line_search9_bs500.log
  step         gt_lr      gt_lr_x2       log_pct    log_x2_pct   log_count
   502     0.0294275      0.058855         0.218         0.596         500
   503    0.02932875     0.0586575          0.27          0.61         500
   504       0.02923       0.05846         0.238         0.612         500
   505    0.02913125     0.0582625          0.31         0.666         500
   506     0.0290325      0.058065         0.242         0.624         500
   507    0.02893375     0.0578675         0.238         0.592         500
   508      0.028835       0.05767         0.256         0.618         500
   509    0.02873625     0.0574725          0.28         0.592         500
   510     0.0286375      0.057275         0.318         0.602         500
   511    0.02853875     0.0570775         0.294         0.562         500
   512       0.02844       0.05688         0.266         0.562         500
   513    0.02834125     0.0566825         0.318         0.648         500
   514     0.0282425      0.056485         0.282         0.628         500
   515    0.02814375     0.0562875         0.272          0.61         500
   516      0.028045       0.05609         0.266          0.56         500
   517    0.02794625     0.0558925         0.288         0.614         500
   518     0.0278475      0.055695         0.294          0.62         500
   519    0.02774875     0.0554975         0.304         0.682         500
   520       0.02765        0.0553         0.336         0.668         500
   521    0.02755125     0.0551025         0.278         0.624         500
   522     0.0274525      0.054905         0.276         0.594         500
   523    0.02735375     0.0547075         0.286         0.626         500
   524      0.027255       0.05451         0.298         0.638         500
   525    0.02715625     0.0543125         0.346         0.682         500
   526     0.0270575      0.054115         0.288         0.622         500
   527    0.02695875     0.0539175         0.322         0.638         500
   528       0.02686       0.05372         0.312         0.666         500
   529    0.02676125     0.0535225         0.274         0.582         500
   530     0.0266625      0.053325         0.272          0.57         500
   531    0.02656375     0.0531275          0.31         0.622         500
   532      0.026465       0.05293         0.334         0.692         500
   533    0.02636625     0.0527325         0.296           0.6         500
   534     0.0262675      0.052535         0.316          0.64         500
   535    0.02616875     0.0523375          0.26         0.608         500
   536       0.02607       0.05214         0.328         0.682         500
   537    0.02597125     0.0519425         0.284         0.608         500
   538     0.0258725      0.051745         0.324         0.648         500
   539    0.02577375     0.0515475         0.316         0.684         500
   540      0.025675       0.05135         0.228         0.666         500
   541    0.02557625     0.0511525         0.248         0.636         500
   542     0.0254775      0.050955         0.224         0.614         500
   543    0.02537875     0.0507575         0.194         0.594         500
   544       0.02528       0.05056         0.218         0.584         500
   545    0.02518125     0.0503625         0.218         0.644         500
   546     0.0250825      0.050165         0.216         0.532         500
   547    0.02498375     0.0499675         0.204         0.496         500
   548      0.024885       0.04977         0.178         0.482         500
   549    0.02478625     0.0495725         0.178         0.512         500
   550     0.0246875      0.049375          0.18         0.524         500
   551    0.02458875     0.0491775         0.268         0.538         500
   552       0.02449       0.04898           0.2         0.546         500
