round,candidate,step,lr_mult,loss,avg3
59,3,589,0.0251023,3.377155,3.378
59,3,590,0.0251023,3.319084,3.354277
60,4,591,0.0301228,3.372348,3.372348
60,4,592,0.0301228,3.418988,3.395668
60,4,593,0.0301228,3.365308,3.385548
60,4,594,0.0301228,3.405293,3.39653
60,4,595,0.0301228,3.380843,3.383815
60,4,596,0.0301228,3.420675,3.40227
60,4,597,0.0301228,3.327621,3.37638
60,4,598,0.0301228,3.335736,3.361344
60,4,599,0.0301228,3.371903,3.345087
60,4,600,0.0301228,3.373372,3.360337
61,2,601,0.0240982,3.275397,3.275397
61,2,602,0.0240982,3.317479,3.296438
61,2,603,0.0240982,3.332895,3.30859
61,2,604,0.0240982,3.308305,3.319559
61,2,605,0.0240982,3.327306,3.322835
61,2,606,0.0240982,3.383317,3.339642
61,2,607,0.0240982,3.387926,3.366183
61,2,608,0.0240982,3.346979,3.37274
61,2,609,0.0240982,3.347728,3.360878
61,2,610,0.0240982,3.397774,3.36416
62,4,611,0.0289179,3.317596,3.317596
62,4,612,0.0289179,3.389274,3.353435
62,4,613,0.0289179,3.3184,3.341757
62,4,614,0.0289179,3.354865,3.354179
62,4,615,0.0289179,3.36293,3.345398
62,4,616,0.0289179,3.368436,3.362077
62,4,617,0.0289179,3.437075,3.38948
62,4,618,0.0289179,3.37257,3.392694
62,4,619,0.0289179,3.393389,3.401011
62,4,620,0.0289179,3.348844,3.371601
63,2,621,0.0231343,3.350825,3.350825
63,2,622,0.0231343,3.398643,3.374734
63,2,623,0.0231343,3.324429,3.357965
63,2,624,0.0231343,3.349612,3.357561
63,2,625,0.0231343,3.3147,3.32958
63,2,626,0.0231343,3.362252,3.342188
63,2,627,0.0231343,3.341623,3.339525
63,2,628,0.0231343,3.334195,3.346023
63,2,629,0.0231343,3.306564,3.327461
63,2,630,0.0231343,3.329936,3.323565
64,3,631,0.0231343,3.375057,3.375057
64,3,632,0.0231343,3.330808,3.352933
64,3,633,0.0231343,3.323817,3.343227
64,3,634,0.0231343,3.326358,3.326994
64,3,635,0.0231343,3.330456,3.326877
64,3,636,0.0231343,3.365139,3.340651
64,3,637,0.0231343,3.352089,3.349228
64,3,638,0.0231343,3.377847,3.365025
64,3,639,0.0231343,3.328516,3.352818
64,3,640,0.0231343,3.328693,3.345019
65,4,641,0.0277612,3.320143,3.320143
65,4,642,0.0277612,3.302928,3.311536
65,4,643,0.0277612,3.296754,3.306608
65,4,644,0.0277612,3.329591,3.309758
65,4,645,0.0277612,3.349525,3.32529
