source,run,label,momentum_config,search_momentum,muon_nesterov,search_nesterov,interval_index,start_step,muon_lr,muon_momentum,selected_muon_nesterov,cooldown_muon_lr,cooldown_muon_momentum,cooldown_muon_nesterov,interval_loss,final_loss,evaluated_interval_configs,evaluated_configs
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,18,36,0.00073,0.9,True,0.00044,0.9,True,0.866953,0.866934,5,22
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,19,38,0.00073,0.9,False,0.00073,0.9,False,0.866942,0.866925,8,32
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,20,40,0.00044,0.9,True,0.00026,0.9,True,0.866929,0.866922,10,42
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,21,42,0.00044,0.9,True,0.00026,0.9,True,0.866927,0.866919,5,20
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,22,44,0.00044,0.9,True,0.00026,0.9,True,0.866924,0.866916,5,20
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,23,46,0.00044,0.9,True,0.00026,0.9,True,0.866924,0.866914,5,20
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,24,48,0.00026,0.9,True,,,None,0.866915,0.866915,8,8
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,0,0,0.2,0.6,,0.072,0.6,,2.203367,1.63364,3,15
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,1,2,0.12,0.6,,0.043,0.6,,1.620513,1.206598,4,20
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,2,4,0.2,0.6,,0.072,0.6,,1.481898,1.017402,4,20
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,3,6,0.072,0.6,,0.026,0.6,,1.021792,0.912674,5,25
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,4,8,0.026,0.6,,0.016,0.6,,0.912791,0.886697,5,22
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,5,10,0.016,0.6,,0.0093,0.6,,0.886808,0.879469,4,17
