run,N,M,final_k_granularity,cooldown_final_k_granularity,step,total_steps,loss,head_lr,muon_lr
7,1,2,1.0,0.25,22,50,0.881,1072.0,0.0093
7,1,2,1.0,0.25,23,50,0.8799,1072.0,0.0093
7,1,2,1.0,0.25,24,50,0.8768,1072.0,0.0056
7,1,2,1.0,0.25,25,50,0.8795,1072.0,0.0093
7,1,2,1.0,0.25,26,50,0.8754,1072.0,0.0056
7,1,2,1.0,0.25,27,50,0.8756,1072.0,0.0056
7,1,2,1.0,0.25,28,50,0.8743,1072.0,0.0056
7,1,2,1.0,0.25,29,50,0.8733,1072.0,0.0034
7,1,2,1.0,0.25,30,50,0.8735,1072.0,0.0056
7,1,2,1.0,0.25,31,50,0.8733,1072.0,0.0056
7,1,2,1.0,0.25,32,50,0.8732,1072.0,0.0056
7,1,2,1.0,0.25,33,50,0.8729,1072.0,0.0056
7,1,2,1.0,0.25,34,50,0.8727,1072.0,0.0056
7,1,2,1.0,0.25,35,50,0.8725,1072.0,0.0056
7,1,2,1.0,0.25,36,50,0.8712,1072.0,0.0034
7,1,2,1.0,0.25,37,50,0.8713,1072.0,0.0034
7,1,2,1.0,0.25,38,50,0.8706,1072.0,0.002
7,1,2,1.0,0.25,39,50,0.8703,1072.0,0.0034
7,1,2,1.0,0.25,40,50,0.8704,1072.0,0.0034
7,1,2,1.0,0.25,41,50,0.8703,1072.0,0.0034
7,1,2,1.0,0.25,42,50,0.8702,1072.0,0.0034
7,1,2,1.0,0.25,43,50,0.8702,1072.0,0.0034
7,1,2,1.0,0.25,44,50,0.87,1072.0,0.0034
7,1,2,1.0,0.25,45,50,0.87,1072.0,0.0034
7,1,2,1.0,0.25,46,50,0.8698,1072.0,0.0034
7,1,2,1.0,0.25,47,50,0.8698,1072.0,0.0034
7,1,2,1.0,0.25,48,50,0.8697,1072.0,0.0034
7,1,2,1.0,0.25,49,50,0.8691,1072.0,0.0012
7,1,2,1.0,0.25,50,50,0.869,1072.0,9.4e-05
8,1,2,0.25,0.25,0,50,2.3135,1072.0,0.2
8,1,2,0.25,0.25,1,50,2.2279,1072.0,0.2
8,1,2,0.25,0.25,2,50,2.0788,1072.0,0.33
8,1,2,0.25,0.25,3,50,1.7702,1072.0,0.12
8,1,2,0.25,0.25,4,50,1.7243,1072.0,0.2
8,1,2,0.25,0.25,5,50,1.5469,1072.0,0.12
8,1,2,0.25,0.25,6,50,1.513,1072.0,0.12
8,1,2,0.25,0.25,7,50,1.3131,1072.0,0.12
8,1,2,0.25,0.25,8,50,1.1551,1072.0,0.072
8,1,2,0.25,0.25,9,50,1.0863,1072.0,0.043
8,1,2,0.25,0.25,10,50,1.0002,1072.0,0.026
8,1,2,0.25,0.25,11,50,0.9583,1072.0,0.026
8,1,2,0.25,0.25,12,50,0.9264,1072.0,0.026
